name,region,county,population,latest_home_price,home_price_year,dor_income_per_capita,eqv_per_capita,economic_score,crime_actual_offenses,crime_rate_per_1000,safety_score,drive_minutes_to_boston,drive_distance_miles_to_boston,commute_score,school_score,affordability_score,family_score,missing_fields,data_sources,tags,data_quality_tier,is_coastal,is_coastal_source,region_key
Boston,Core Boston + inner metro,Suffolk,673458,767500.0,2021.0,65287,358986,7.04,29732,46.25,0.0,4.8,0.5,10.0,1.55,3.29,2.97,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'coastal', 'short commute', 'higher income area']",full,True,curated,core_boston_inner_metro
Cambridge,Core Boston + inner metro,Middlesex,121186,1800000.0,2021.0,78192,704531,8.7,4741,39.85,0.1,12.3,5.19,9.9,6.19,0.13,3.78,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'short commute', 'higher income area']",full,False,,core_boston_inner_metro
Somerville,Core Boston + inner metro,Middlesex,82149,967500.0,2021.0,61870,325821,6.46,1783,22.42,1.21,15.7,4.95,9.75,0.36,1.34,2.34,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'short commute']",full,False,,core_boston_inner_metro
Brookline,Core Boston + inner metro,Norfolk,63925,2026712.0,2021.0,100201,528253,9.12,783,12.5,4.12,22.1,7.27,8.84,4.23,0.07,4.38,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'short commute', 'higher income area']",full,False,,core_boston_inner_metro
Newton,Core Boston + inner metro,Middlesex,90700,1525000.0,2021.0,167243,491284,9.6,752,8.64,5.53,17.5,9.67,9.65,,0.34,5.16,['school_score'],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'short commute', 'higher income area']",partial,False,,core_boston_inner_metro
Watertown,Core Boston + inner metro,Middlesex,35985,785000.0,2021.0,63164,365242,6.91,901,25.75,0.75,18.2,8.65,9.45,4.94,2.95,3.89,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'short commute']",full,False,,core_boston_inner_metro
Waltham,Core Boston + inner metro,Middlesex,65849,705000.0,2021.0,49410,309997,5.3,999,15.66,2.76,21.7,12.18,8.94,2.02,4.03,3.53,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'short commute']",full,False,,core_boston_inner_metro
Belmont,Core Boston + inner metro,Middlesex,27442,1430000.0,2021.0,112427,437049,9.02,258,9.72,5.03,23.3,10.55,8.69,9.88,0.6,6.13,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'strong schools', 'short commute', 'higher income area']",full,False,,core_boston_inner_metro
Arlington,Core Boston + inner metro,Middlesex,47112,950000.0,2021.0,83690,337342,7.86,322,7.1,6.43,20.9,8.76,9.15,9.11,1.41,6.2,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'strong schools', 'short commute', 'higher income area']",full,False,,core_boston_inner_metro
Medford,Core Boston + inner metro,Middlesex,59898,750000.0,2021.0,55839,274847,5.42,1133,16.59,2.51,11.0,6.0,9.95,1.31,3.49,3.18,[],"['DOR_Income_EQV_Per_Capita.xlsx', 'Google Distance Matrix', 'MA_Public_Schools_2017.csv', 'SRS Crime Rates CSV', 'housing_price_data.txt']","['Core Boston + inner metro', 'short commute']",full,False,,core_boston_inner_metro
