town	year	value	cat	county
Abington	2021	5e+05	house_price	Plymouth
Abington	2020	432750	house_price	Plymouth
Abington	2019	385000	house_price	Plymouth
Abington	2018	395000	house_price	Plymouth
Abington	2016	345000	house_price	Plymouth
Abington	2015	319450	house_price	Plymouth
Abington	2014	331427	house_price	Plymouth
Acton	2021	814500	house_price	Middlesex
Acton	2020	695000	house_price	Middlesex
Acton	2019	630000	house_price	Middlesex
Acton	2018	650000	house_price	Middlesex
Acton	2016	598500	house_price	Middlesex
Acton	2015	566750	house_price	Middlesex
Acton	2014	589476	house_price	Middlesex
Amesbury	2021	525000	house_price	Essex
Amesbury	2020	463000	house_price	Essex
Amesbury	2019	415000	house_price	Essex
Amesbury	2018	390950	house_price	Essex
Amesbury	2016	330925	house_price	Essex
Amesbury	2015	325500	house_price	Essex
Amesbury	2014	335269	house_price	Essex
Andover	2021	840000	house_price	Essex
Andover	2020	738000	house_price	Essex
Andover	2019	675000	house_price	Essex
Andover	2018	663000	house_price	Essex
Andover	2016	608450	house_price	Essex
Andover	2015	615000	house_price	Essex
Andover	2014	645377	house_price	Essex
Arlington	2021	950000	house_price	Middlesex
Arlington	2020	870000	house_price	Middlesex
Arlington	2019	820000	house_price	Middlesex
Arlington	2018	805000	house_price	Middlesex
Arlington	2016	709750	house_price	Middlesex
Arlington	2015	640750	house_price	Middlesex
Arlington	2014	349799	house_price	Middlesex
Ashby	2021	419900	house_price	Middlesex
Ashby	2020	332500	house_price	Middlesex
Ashby	2019	294000	house_price	Middlesex
Ashby	2018	282000	house_price	Middlesex
Ashby	2016	229900	house_price	Middlesex
Ashby	2015	199900	house_price	Middlesex
Ashby	2014	222562	house_price	Middlesex
Ashland	2021	562500	house_price	Middlesex
Ashland	2020	488000	house_price	Middlesex
Ashland	2019	502500	house_price	Middlesex
Ashland	2018	465000	house_price	Middlesex
Ashland	2016	419950	house_price	Middlesex
Ashland	2015	4e+05	house_price	Middlesex
Ashland	2014	414014	house_price	Middlesex
Attleboro	2021	441000	house_price	Bristol
Attleboro	2020	389900	house_price	Bristol
Attleboro	2019	350000	house_price	Bristol
Attleboro	2018	332500	house_price	Bristol
Attleboro	2016	310000	house_price	Bristol
Attleboro	2015	279250	house_price	Bristol
Attleboro	2014	279043	house_price	Bristol
Avon	2021	450000	house_price	Norfolk
Avon	2020	375000	house_price	Norfolk
Avon	2019	362500	house_price	Norfolk
Avon	2018	349500	house_price	Norfolk
Avon	2016	312000	house_price	Norfolk
Avon	2015	262000	house_price	Norfolk
